anio,periodo_cubierto,clasificacion,canal,monto_millones_usd,pct_del_total_anual,total_remesas_anio_millones_usd,desglose_disponible,serie_bcr,fuente,unidad,url_fuente,datos_actualizados_hasta,fecha_publicacion_ultimo_dato,fecha_consulta,nota
2021,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,2617.09,34.50,7585.24,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2021,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,4731.63,62.38,7585.24,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2021,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,22.80,0.30,7585.24,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,126.72,1.62,7819.57,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Agente liquidador (canal de recepcion),Efectivo o bolsillo,204.15,2.61,7819.57,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,2687.68,34.37,7819.57,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,4782.17,61.16,7819.57,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,18.86,0.24,7819.57,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,82.93,1.00,8275.42,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Agente liquidador (canal de recepcion),Efectivo o bolsillo,316.93,3.83,8275.42,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,2995.20,36.19,8275.42,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,4862.45,58.76,8275.42,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,17.91,0.22,8275.42,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2024,Enero-Diciembre,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,85.50,1.01,8479.70,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Agente liquidador (canal de recepcion),Efectivo o bolsillo,331.85,3.91,8479.70,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,3209.39,37.85,8479.70,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
