anio,periodo_cubierto,clasificacion,canal,monto_millones_usd,pct_del_total_anual,total_remesas_anio_millones_usd,desglose_disponible,serie_bcr,fuente,unidad,url_fuente,datos_actualizados_hasta,fecha_publicacion_ultimo_dato,fecha_consulta,nota
2022,Enero-Diciembre,Tipo de transferencia,Billeteras digitales de criptomonedas,126.72,1.62,7819.57,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Tipo de transferencia,Efectivo o bolsillo,204.15,2.61,7819.57,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Tipo de transferencia,Recargas a telefonos moviles,18.86,0.24,7819.57,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Tipo de transferencia,Remesa cobrada en ventanilla o sin abono a cuenta,5051.32,64.60,7819.57,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Tipo de transferencia,Remesa con abono a cuenta,2418.53,30.93,7819.57,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Tipo de transferencia,Billeteras digitales de criptomonedas,82.93,1.00,8275.42,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Tipo de transferencia,Efectivo o bolsillo,316.93,3.83,8275.42,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Tipo de transferencia,Recargas a telefonos moviles,17.91,0.22,8275.42,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Tipo de transferencia,Remesa cobrada en ventanilla o sin abono a cuenta,5610.54,67.80,8275.42,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Tipo de transferencia,Remesa con abono a cuenta,2247.09,27.15,8275.42,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,
2024,Enero-Diciembre,Tipo de transferencia,Billeteras digitales de criptomonedas,85.50,1.01,8479.70,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Tipo de transferencia,Efectivo o bolsillo,331.85,3.91,8479.70,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Tipo de transferencia,Recargas a telefonos moviles,16.32,0.19,8479.70,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Tipo de transferencia,Remesa cobrada en ventanilla o sin abono a cuenta,5640.02,66.51,8479.70,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Tipo de transferencia,Remesa con abono a cuenta,2405.99,28.37,8479.70,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Tipo de transferencia,Billeteras digitales de criptomonedas,57.67,0.58,9987.91,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Tipo de transferencia,Efectivo o bolsillo,391.71,3.92,9987.91,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Tipo de transferencia,Recargas a telefonos moviles,16.04,0.16,9987.91,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Tipo de transferencia,Remesa cobrada en ventanilla o sin abono a cuenta,6211.73,62.19,9987.91,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Tipo de transferencia,Remesa con abono a cuenta,3310.75,33.15,9987.91,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Tipo de transferencia,Billeteras digitales de criptomonedas,35.37,0.70,5060.60,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Tipo de transferencia,Efectivo o bolsillo,194.31,3.84,5060.60,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Tipo de transferencia,Recargas a telefonos moviles,7.42,0.15,5060.60,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Tipo de transferencia,Remesa cobrada en ventanilla o sin abono a cuenta,2984.99,58.98,5060.60,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Tipo de transferencia,Remesa con abono a cuenta,1838.51,36.33,5060.60,Si,Monto de remesas familiares por tipo de transferencia,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/monto-de-remesas-familiares-por-tipo-de-transferencia,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
